0,Ming,Ming,8,1,1,1
1,BoiHetVaoDay,BoiHetVaoDay,8,2,2,3
2,Mr.Donkey,Mr.Donkey,8,8,5,4
3,ThongCaTheGioi,ThongCaTheGioi,8,11,11,10
4,TA,TA,8,6,7,7
5,HUNGLE,HUNGLE,8,7,9,9
6,Hung501,Hung501,8,9,8,8
7,Vu Vu,Vu Vu,8,5,6,5
8,Gank by Wife,Gank by Wife,8,3,4,6
9,Eternity_HUY,Eternity_HUY,8,10,10,11
10,Nobita,Nobita,8,13,14,16
11,rambo,rambo,8,14,13,13
12,Rama_MSE,Rama_MSE,8,4,3,2
13,Nam Lai,Nam Lai,8,15,15,18
14,TRI,TRI,8,19,16,14
15,CSC | Shinichi,CSC | Shinichi,8,12,12,12
16,QUI,QUI,8,18,17,19
17,Raymond,Raymond,8,17,19,15
18,Player-Cobix,Player-Cobix,8,16,18,17
